,0
0,晚
1,风
2,摇
3,树
4,还
5,挺
6,愿
7,景
8,天
9,成
10,无
11,墨
12,迹
13,丹
14,枫
15,江
16,冷
17,人
18,初
19,去
20,忽
21,几
22,晨
23,昏
24,，
25,离
26,别
27,间
28,之
29,疾
30,病
31,不
32,及
33,终
34,年
35,同
36,静
37,好
38,闲
39,来
40,野
41,钓
42,稀
43,处
44,毋
45,负
46,我
47,柳
48,下
49,虽
50,和
51,有
52,介
53,称
54,先
55,生
56,字
57,此
58,可
59,以
60,谥
61,投
62,石
63,向
64,跟
65,命
66,斗
67,深
68,院
69,落
70,滕
71,花
72,点
73,头
74,龙
75,语
76,畏
77,鸿
78,门
79,传
80,汉
81,祚
82,新
83,居
84,创
85,业
86,始
87,本
88,领
89,高
90,强
91,攀
92,月
93,桂
94,豪
95,华
96,超
97,御
98,苑
99,常
100,夸
101,海
102,口
103,信
104,屋
105,后
106,千
107,恶
108,道
109,收
110,佢
111,历
112,史
113,名
114,城
115,九
116,水
117,回
118,澜
119,飞
120,扬
121,吴
122,楚
123,三
124,韵
125,修
126,竹
127,翠
128,萝
129,寒
130,雾
131,萦
132,身
133,香
134,满
135,袖
136,时
137,见
138,流
139,莺
140,鸣
141,岸
142,万
143,险
144,何
145,辞
146,？
147,为
148,圆
149,大
150,漠
151,科
152,研
153,梦
154,披
155,肝
156,沥
157,胆
158,洒
159,情
160,杏
161,坛
162,犹
163,靠
164,良
165,师
166,带
167,张
168,琴
169,邀
170,淡
171,祖
172,光
173,气
174,首
175,开
176,最
177,爱
178,云
179,中
180,腾
181,细
182,浪
183,知
184,诸
185,般
186,事
187,汪
188,洋
189,多
190,瑰
191,宝
192,池
193,布
194,仙
195,境
196,耕
197,岛
198,明
199,遍
200,世
201,上
202,功
203,皆
204,看
205,放
206,倒
207,昆
208,仑
209,当
210,睡
211,枕
212,一
213,举
214,思
215,尽
216,由
217,心
218,宛
219,转
220,客
221,莫
222,问
223,鲈
224,鱼
225,味
226,醉
227,酒
228,非
229,因
230,寂
231,寞
232,媒
233,体
234,曝
235,惊
236,呼
237,物
238,价
239,频
240,涨
241,金
242,蛇
243,狂
244,舞
245,留
246,些
247,厚
248,予
249,建
250,党
251,军
252,辟
253,地
254,锤
255,镰
256,百
257,齐
258,春
259,签
260,令
261,吃
262,得
263,十
264,苦
265,结
266,果
267,潮
268,澎
269,湃
270,渡
271,窗
272,英
273,吉
274,利
275,国
276,色
277,姹
278,紫
279,嫣
280,红
281,碧
282,青
283,欣
284,共
285,赏
286,沐
287,恩
288,马
289,到
290,欲
291,穷
292,里
293,目
294,田
295,边
296,排
297,立
298,白
299,鹭
300,似
301,谙
302,方
303,难
304,治
305,牛
306,皮
307,癣
308,庆
309,钟
310,灵
311,广
312,筑
313,文
314,路
315,松
316,尺
317,鲜
318,市
319,鬼
320,返
321,朴
322,归
323,真
324,性
325,映
326,醒
327,更
328,露
329,重
330,涯
331,望
332,坡
333,前
334,快
335,活
336,室
337,己
338,古
339,寺
340,佛
341,日
342,轮
343,崇
344,法
345,相
346,雄
347,踞
348,北
349,疆
350,根
351,脉
352,雨
353,砚
354,起
355,烈
356,士
357,在
358,铁
359,戈
360,血
361,铸
362,干
363,摧
364,腐
365,西
366,子
367,湖
368,逢
369,暮
370,星
371,灿
372,鹤
373,登
374,楼
375,览
376,关
377,内
378,封
379,侯
380,烂
381,尘
382,通
383,外
384,袋
385,双
386,普
387,且
388,住
389,佳
390,必
391,园
392,林
393,胜
394,甫
395,渰
396,零
397,漙
398,荷
399,耨
400,烟
401,蓑
402,闻
403,谷
404,敲
405,溅
406,泪
407,幸
408,福
409,彩
410,民
411,喜
412,玩
413,出
414,照
415,眼
416,谁
417,敢
418,歌
419,吟
420,诗
421,圣
422,空
423,凤
424,呈
425,祥
426,兴
427,伟
428,了
429,肥
430,总
431,声
432,谢
433,畔
434,瑕
435,玉
436,能
437,雕
438,疵
439,磨
440,化
441,神
442,奇
443,珍
444,品
445,固
446,柏
447,山
448,澄
449,湫
450,沙
451,力
452,磬
453,要
454,义
455,狐
456,臭
457,驱
458,朋
459,梅
460,堪
461,养
462,随
463,杯
464,插
465,添
466,行
467,桃
468,识
469,种
470,奥
471,运
472,火
473,八
474,寿
475,捧
476,黄
477,菌
478,芝
479,长
480,馨
481,界
482,今
483,宵
484,俗
485,妨
486,洗
487,却
488,凡
489,瘦
490,怜
491,秋
492,老
493,抑
494,私
495,怀
496,公
497,抚
498,平
499,睢
500,针
501,标
502,驿
503,梨
504,轻
505,纵
506,论
507,煮
508,会
509,朵
510,枝
511,叶
512,蜂
513,鸟
514,乐
515,移
516,锦
517,绣
518,侗
519,乡
520,又
521,河
522,涌
523,洪
524,泽
525,笑
526,虎
527,步
528,沾
529,裁
530,补
531,少
532,从
533,容
534,将
535,腹
536,怨
537,尤
538,她
539,倾
540,诉
541,与
542,争
543,坦
544,荡
545,众
546,抱
547,揭
548,竿
549,而
550,燎
551,原
552,斧
553,藏
554,耳
555,许
556,瞒
557,苟
558,未
559,须
560,如
561,意
562,魂
563,魄
564,颠
565,异
566,雅
567,趣
568,逸
569,赐
570,麒
571,麟
572,亲
573,送
574,小
575,善
576,燕
577,播
578,分
579,绿
580,笙
581,劈
582,探
583,芳
584,久
585,观
586,汇
587,商
588,号
589,家
590,丁
591,觉
592,悟
593,断
594,灭
595,近
596,京
597,都
598,俊
599,迈
600,东
601,浩
602,致
603,富
604,途
605,奠
606,基
607,拓
608,振
609,荩
610,王
611,土
612,宜
613,剩
614,勇
615,追
616,寇
617,倚
618,拙
619,镇
620,店
621,痕
622,引
623,远
624,诚
625,仁
626,堂
627,揖
628,拜
629,清
630,妙
631,井
632,财
633,澈
634,街
635,亮
636,美
637,姿
638,琅
639,邪
640,焕
641,象
642,孕
643,精
644,夫
645,永
646,韶
647,合
648,吕
649,茗
650,熟
651,凝
652,书
653,台
654,宇
655,锁
656,任
657,铺
658,侍
659,雪
660,艳
661,摆
662,李
663,婷
664,执
665,唯
666,乘
667,寻
668,启
669,迪
670,复
671,唱
672,低
673,叹
674,阳
675,叠
676,慢
677,自
678,忠
679,臣
680,孝
681,紧
682,节
683,讲
684,授
685,曾
686,植
687,芬
688,联
689,父
690,熏
691,陶
692,志
693,动
694,撷
695,裹
696,盘
697,峻
698,岭
699,德
700,于
701,密
702,钥
703,端
704,锈
705,赋
706,舟
707,澴
708,蛟
709,作
710,堤
711,织
712,鼻
713,存
714,简
715,牍
716,亦
717,记
718,壮
719,泰
720,莲
721,弥
722,禹
723,甸
724,浅
725,友
726,聚
727,昭
728,表
729,劲
730,虚
731,墩
732,银
733,两
734,度
735,停
736,漫
737,溪
738,桥
739,受
740,也
741,栽
742,期
743,涛
744,影
745,荫
746,案
747,宣
748,载
749,耘
750,讯
751,主
752,持
753,丽
754,四
755,数
756,俯
757,盛
758,卷
759,句
760,刻
761,经
762,营
763,获
764,朗
765,概
766,把
767,课
768,翻
769,染
770,听
771,浊
772,晓
773,霞
774,但
775,瓣
776,葛
777,琼
778,瑶
779,皇
780,独
781,剪
782,玲
783,珑
784,缕
785,应
786,湮
787,输
788,润
789,若
790,纤
791,易
792,散
793,夏
794,夜
795,凉
796,翁
797,茅
798,舍
799,健
800,笔
801,写
802,丰
803,碑
804,部
805,曲
806,履
807,训
808,赵
809,喧
810,叟
811,挥
812,擂
813,旺
814,鼓
815,鞭
816,催
817,骏
818,衍
819,瑾
820,塞
821,锡
822,纸
823,才
824,线
825,系
826,姻
827,缘
828,、
829,注
830,定
831,医
832,疗
833,巧
834,越
835,祀
836,懿
837,范
838,慈
839,母
840,男
841,雁
842,南
843,陇
844,彼
845,其
846,殊
847,乎
848,源
849,纳
850,米
851,席
852,酿
853,程
854,溢
855,包
856,拯
857,颂
858,条
859,济
860,牡
861,入
862,章
863,揩
864,狗
865,屁
866,峡
867,隔
868,盼
869,统
870,社
871,温
872,敬
873,径
874,赛
875,临
876,机
877,读
878,音
879,岩
880,阅
881,峰
882,塔
883,秘
884,犀
885,洞
886,潭
887,匀
888,热
889,隋
890,番
891,垂
892,杨
893,巷
894,梳
895,弱
896,迎
897,踏
898,印
899,囊
900,扫
901,庸
902,懒
903,贪
904,安
905,请
906,指
907,盟
908,告
909,所
910,依
911,旧
912,阁
913,凭
914,智
915,护
916,守
917,求
918,兔
919,驾
920,宫
921,游
922,廉
923,洁
924,村
925,比
926,岳
927,渭
928,折
929,蜿
930,蜒
931,庭
932,潇
933,湘
934,鹏
935,学
936,宿
937,含
938,薄
939,柱
940,繁
941,荣
942,画
943,廊
944,穆
945,哉
946,仞
947,墙
948,凌
949,威
950,俦
951,匹
952,单
953,刀
954,踊
955,贼
956,净
957,技
958,卿
959,吹
960,皱
961,弛
962,奔
963,底
964,计
965,据
966,掬
967,瑞
968,霭
969,迷
970,蒙
971,鲸
972,突
973,舰
974,驰
975,浑
976,忘
977,构
978,挑
979,灯
980,宰
981,管
982,洙
983,泗
984,弦
985,余
986,鹗
987,励
988,羽
989,翼
990,佬
991,现
992,说
993,借
994,词
995,寄
996,辛
997,稼
998,轩
999,慷
1000,慨
1001,并
1002,蒂
1003,廿
1004,早
1005,昂
1006,草
1007,萤
1008,弹
1009,冠
1010,消
1011,除
1012,患
1013,苍
1014,酬
1015,勤
1016,故
1017,五
1018,窖
1019,醇
1020,秦
1021,宏
1022,横
1023,渔
1024,霸
1025,代
1026,缨
1027,簪
1028,组
1029,拥
1030,吞
1031,吐
1032,六
1033,泉
1034,摄
1035,欢
1036,殿
1037,巍
1038,震
1039,严
1040,唧
1041,冰
1042,粉
1043,藕
1044,谭
1045,益
1046,岂
1047,偏
1048,沉
1049,极
1050,州
1051,瓮
1052,苔
1053,飘
1054,忆
1055,霓
1056,裳
1057,契
1058,疏
1059,僾
1060,忾
1061,筵
1062,是
1063,图
1064,增
1065,岁
1066,破
1067,弄
1068,女
1069,妻
1070,幽
1071,俨
1072,然
1073,夕
1074,灰
1075,蕴
1076,饲
1077,费
1078,牵
1079,拍
1080,用
1081,耸
1082,晴
1083,岚
1084,挂
1085,甲
1086,太
1087,鼙
1088,秩
1089,谛
1090,徐
1091,璀
1092,璨
1093,面
1094,话
1095,骚
1096,溯
1097,唐
1098,托
1099,截
1100,粤
1101,耀
1102,盏
1103,伴
1104,君
1105,赤
1106,燃
1107,衣
1108,木
1109,食
1110,咏
1111,眸
1112,褥
1113,尚
1114,残
1115,烛
1116,鸡
1117,取
1118,税
1119,秀
1120,权
1121,位
1122,律
1123,蓝
1124,展
1125,翅
1126,卧
1127,榻
1128,旁
1129,已
1130,接
1131,笛
1132,征
1133,夷
1134,融
1135,整
1136,胸
1137,磊
1138,死
1139,导
1140,谐
1141,连
1142,续
1143,剧
1144,对
1145,帐
1146,鸳
1147,鸯
1148,惑
1149,锋
1150,滚
1151,波
1152,走
1153,昔
1154,狼
1155,角
1156,穿
1157,冬
1158,戴
1159,帽
1160,糊
1161,涂
1162,让
1163,职
1164,制
1165,宙
1166,孩
1167,儿
1168,过
1169,杜
1170,正
1171,拉
1172,幅
1173,勾
1174,隐
1175,僧
1176,礼
1177,招
1178,尾
1179,皓
1180,斋
1181,旨
1182,曰
1183,录
1184,焚
1185,毕
1186,铭
1187,集
1188,揽
1189,群
1190,贤
1191,至
1192,雰
1193,拔
1194,擎
1195,丈
1196,贸
1197,环
1198,盈
1199,悲
1200,实
1201,赞
1202,形
1203,势
1204,咸
1205,透
1206,遐
1207,瞩
1208,发
1209,莓
1210,禅
1211,侧
1212,换
1213,元
1214,童
1215,颜
1216,逝
1217,就
1218,瑚
1219,琳
1220,爽
1221,腕
1222,阑
1223,钗
1224,沽
1225,调
1226,楩
1227,楠
1228,匠
1229,派
1230,延
1231,肚
1232,肠
1233,饱
1234,者
1235,饥
1236,捐
1237,尼
1238,眠
1239,卦
1240,武
1241,遂
1242,荒
1243,哪
1244,遭
1245,贬
1246,降
1247,跃
1248,壁
1249,抛
1250,泼
1251,楹
1252,假
1253,棋
1254,预
1255,料
1256,霜
1257,徘
1258,徊
1259,措
1260,赢
1261,弃
1262,埃
1263,傍
1264,阴
1265,昙
1266,蒨
1267,尝
1268,臂
1269,户
1270,悦
1271,禽
1272,格
1273,铜
1274,驼
1275,荆
1276,棘
1277,况
1278,觚
1279,棱
1280,鹃
1281,柔
1282,没
1283,骨
1284,足
1285,政
1286,策
1287,暖
1288,携
1289,矗
1290,团
1291,簇
1292,爆
1293,戏
1294,谈
1295,倩
1296,只
1297,证
1298,桌
1299,兆
1300,幻
1301,渺
1302,解
1303,沿
1304,阶
1305,抖
1306,劝
1307,浓
1308,瓦
1309,漏
1310,誓
1311,著
1312,区
1313,便
1314,捷
1315,交
1316,七
1317,局
1318,珠
1319,帘
1320,虞
1321,廷
1322,伤
1323,进
1324,饰
1325,橱
1326,泥
1327,育
1328,髓
1329,悔
1330,彰
1331,蔚
1332,报
1333,傲
1334,铮
1335,伏
1336,抗
1337,殷
1338,惜
1339,遮
1340,奈
1341,惯
1342,唳
1343,觞
1344,斛
1345,朝
1346,替
1347,衰
1348,勋
1349,昼
1350,霁
1351,冲
1352,虹
1353,俭
1354,穴
1355,靓
1356,孔
1357,韩
1358,打
1359,壶
1360,手
1361,旭
1362,辉
1363,浏
1364,竞
1365,斯
1366,媚
1367,厦
1368,喷
1369,崖
1370,练
1371,丝
1372,畅
1373,裂
1374,崩
1375,急
1376,扶
1377,粹
1378,冥
1379,府
1380,帆
1381,略
1382,乾
1383,肇
1384,电
1385,缆
1386,魅
1387,冀
1388,卖
1389,葵
1390,猩
1391,脸
1392,纹
1393,绽
1394,蝶
1395,坞
1396,曜
1397,贲
1398,玄
1399,龟
1400,驯
1401,座
1402,骤
1403,猛
1404,恐
1405,蔬
1406,想
1407,农
1408,切
1409,继
1410,俎
1411,豆
1412,遗
1413,猫
1414,菊
1415,鸥
1416,鸽
1417,陵
1418,搪
1419,控
1420,割
1421,韭
1422,禁
1423,绝
1424,毫
1425,壑
1426,阔
1427,纬
1428,儒
1429,域
1430,煌
1431,贵
1432,支
1433,仕
1434,试
1435,教
1436,架
1437,股
1438,恨
1439,仇
1440,禄
1441,劳
1442,雀
1443,毂
1444,仿
1445,炫
1446,这
1447,伦
1448,理
1449,丧
1450,船
1451,帜
1452,峥
1453,嵘
1454,咤
1455,叱
1456,襄
1457,忍
1458,浮
1459,聊
1460,工
1461,肩
1462,稳
1463,饮
1464,葱
1465,茏
1466,蔓
1467,渐
1468,挣
1469,票
1470,孤
1471,鸦
1472,亘
1473,败
1474,奢
1475,警
1476,响
1477,燧
1478,川
1479,序
1480,羊
1481,瀛
1482,啸
1483,核
1484,泄
1485,灾
1486,祸
1487,短
1488,岗
1489,掌
1490,乱
1491,挟
1492,奸
1493,兀
1494,鼎
1495,做
1496,撑
1497,茧
1498,厌
1499,驻
1500,歧
1501,暗
1502,斜
1503,溥
1504,奉
1505,片
1506,杂
1507,念
1508,坚
1509,垠
1510,鲁
1511,承
1512,槛
1513,扇
1514,屠
1515,错
1516,俏
1517,苏
1518,杭
1519,侬
1520,软
1521,罄
1522,稷
1523,樊
1524,篱
1525,拘
1526,愁
1527,约
1528,谋
1529,址
1530,眺
1531,障
1532,全
1533,隅
1534,梁
1535,丘
1536,失
1537,慧
1538,傻
1539,妈
1540,阵
1541,感
1542,妇
1543,悬
1544,郡
1545,郊
1546,腊
1547,使
1548,言
1549,乃
1550,忧
1551,即
1552,怡
1553,倦
1554,酣
1555,柴
1556,顺
1557,茶
1558,滴
1559,霄
1560,碍
1561,钩
1562,往
1563,贫
1564,烁
1565,谓
1566,憧
1567,憬
1568,圃
1569,旬
1570,栋
1571,屏
1572,扯
1573,蛋
1574,樽
1575,偶
1576,黑
1577,丙
1578,潜
1579,沧
1580,桑
1581,汶
1582,刑
1583,车
1584,仆
1585,药
1586,设
1587,帏
1588,绵
1589,瓜
1590,瓞
1591,免
1592,诺
1593,邻
1594,葳
1595,蕤
1596,瞰
1597,嶂
1598,鹊
1599,跳
1600,榴
1601,津
1602,趋
1603,宅
1604,兰
1605,宽
1606,享
1607,嫦
1608,娥
1609,舒
1610,宋
1611,鸭
1612,朽
1613,欺
1614,保
1615,牙
1616,具
1617,康
1618,陪
1619,庙
1620,闭
1621,涩
1622,菁
1623,参
1624,茂
1625,喑
1626,呜
1627,办
1628,助
1629,亩
1630,陌
1631,聆
1632,垣
1633,掩
1634,瓯
1635,虫
1636,捍
1637,旗
1638,仰
1639,它
1640,妆
1641,背
1642,储
1643,献
1644,鉴
1645,甘
1646,脚
1647,港
1648,菲
1649,躬
1650,剑
1651,泻
1652,瀑
1653,库
1654,闸
1655,纷
1656,浸
1657,湾
1658,再
1659,株
1660,嫩
1661,缠
1662,救
1663,像
1664,二
1665,左
1666,右
1667,采
1668,射
1669,改
1670,革
1671,攻
1672,肋
1673,典
1674,逆
1675,赌
1676,场
1677,壬
1678,辰
1679,鲤
1680,提
1681,篮
1682,拾
1683,或
1684,监
1685,戒
1686,惧
1687,蜜
1688,鬓
1689,培
1690,邑
1691,哑
1692,蛙
1693,哕
1694,升
1695,淘
1696,桔
1697,翰
1698,战
1699,惟
1700,堆
1701,积
1702,攒
1703,裕
1704,榭
1705,咽
1706,伐
1707,奏
1708,凯
1709,贡
1710,璞
1711,宦
1712,需
1713,瓢
1714,每
1715,羞
1716,恰
1717,昨
1718,闹
1719,吾
1720,息
1721,贺
1722,喉
1723,弯
1724,栖
1725,峨
1726,庑
1727,歇
1728,顶
1729,崚
1730,嶒
1731,貂
1732,蝉
1733,髻
1734,摘
1735,曳
1736,装
1737,素
1738,诀
1739,仪
1740,贝
1741,阐
1742,顿
1743,垢
1744,杖
1745,茫
1746,直
1747,刺
1748,萧
1749,卒
1750,彷
1751,徨
1752,戟
1753,层
1754,黛
1755,半
1756,额
1757,笃
1758,烧
1759,罢
1760,湿
1761,顾
1762,兵
1763,缺
1764,际
1765,钢
1766,反
1767,午
1768,狮
1769,官
1770,网
1771,菡
1772,萏
1773,絮
1774,缝
1775,橐
1776,术
1777,尊
1778,累
1779,麻
1780,颅
1781,暑
1782,造
1783,祉
1784,誉
1785,苗
1786,抹
1787,谩
1788,防
1789,妒
1790,亭
1791,胄
1792,螃
1793,蟹
1794,推
1795,枰
1796,汝
1797,砺
1798,陈
1799,刚
1800,豫
1801,族
1802,衫
1803,宗
1804,欧
1805,昊
1806,司
1807,劫
1808,庄
1809,绀
1810,貌
1811,甜
1812,蟾
1813,阙
1814,盾
1815,矛
1816,敌
1817,棹
1818,淮
1819,宠
1820,辱
1821,胥
1822,酹
1823,祭
1824,粽
1825,屈
1826,骑
1827,罪
1828,羿
1829,蜀
1830,犬
1831,吠
1832,占
1833,仍
1834,疑
1835,脑
1836,视
1837,腔
1838,旦
1839,末
1840,丑
1841,态
1842,愚
1843,瘼
1844,炳
1845,怕
1846,谪
1847,差
1848,悉
1849,屑
1850,第
1851,笺
1852,赚
1853,够
1854,弘
1855,习
1856,幕
1857,枉
1858,炊
1859,亿
1860,兄
1861,贮
1862,冉
1863,愧
1864,特
1865,奋
1866,塘
1867,互
1868,谅
1869,帮
1870,蒸
1871,猪
1872,馔
1873,蕾
1874,闰
1875,那
1876,胡
1877,杰
1878,卫
1879,浴
1880,旷
1881,巢
1882,宁
1883,给
1884,抒
1885,弟
1886,握
1887,寰
1888,椤
1889,充
1890,拳
1891,猿
1892,速
1893,绘
1894,寸
1895,杀
1896,偿
1897,床
1898,被
1899,鞋
1900,变
1901,齿
1902,乍
1903,靖
1904,窥
1905,亏
1906,休
1907,恬
1908,魁
1909,陡
1910,巩
1911,淳
1912,孙
1913,氏
1914,悠
1915,坤
1916,掐
1917,锣
1918,笠
1919,缀
1920,渤
1921,抓
1922,髯
1923,绺
1924,飒
1925,裔
1926,巡
1927,列
1928,房
1929,楝
1930,杉
1931,赖
1932,决
1933,筹
1934,率
1935,灌
1936,渠
1937,惠
1938,坐
1939,拚
1940,渚
1941,毯
1942,姓
1943,检
1944,跨
1945,竖
1946,误
1947,昌
1948,潆
1949,洄
1950,顷
1951,梵
